year,artist.inverted,track,time,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week
2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,7/1/00,8/12/00,63,52,44,29
2000,Ludacris,What's Your Fantasy,4:16,Rap,9/30/00,12/16/00,89,83,63,55
2000,Lil' Zane,Callin' Me,3:43,Rap,7/29/00,9/2/00,83,89,57,40
2000,M2M,Don't Say You Love Me,3:41,Pop,11/20/99,1/8/00,72,53,62,46
2000,SoulDecision,Faded,3:25,Rock,7/8/00,9/9/00,94,90,81,64
2000,"Brock, Chad",Yes!,3:22,Country,4/8/00,7/1/00,90,77,66,61
2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,11/20/99,2/12/00,74,66,52,39
2000,Vertical Horizon,You're A God,3:45,Rock,8/26/00,11/4/00,64,55,43,41
2000,Avant,Separated,4:13,Rock,4/29/00,5/20/00,62,32,30,23
2000,"Rimes, LeAnn",Big Deal,3:03,Country,10/16/99,1/1/00,71,52,51,51
2000,IMx,Stay The Night,3:37,Rap,10/9/99,1/8/00,84,61,45,43
2000,Dr. Dre,The Next Episode,2:38,Rap,5/27/00,7/29/00,78,67,58,53
2000,"Spears, Britney",Lucky,3:23,Rock,8/12/00,9/9/00,61,41,28,26
2000,Savage Garden,Crash And Burn,4:41,Rock,4/8/00,5/27/00,75,58,51,36
2000,Kandi,Don't Think I'm Not,3:50,Rock,8/5/00,10/7/00,66,66,66,61
2000,Sammie,I Like It,4:09,Rock,1/29/00,4/15/00,85,68,58,44
2000,Goo Goo Dolls,Broadway,3:54,Rock,4/22/00,7/1/00,74,58,53,42
2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,6/17/00,8/12/00,69,63,54,50
2000,Dr. Dre,Forgot About Dre,3:42,Rap,1/22/00,3/25/00,75,55,47,36
2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,1/22/00,2/19/00,77,56,35,26
2000,"Messina, Jo Dee",That's The Way,3:17,Country,6/24/00,8/26/00,78,67,63,54
2000,Avant,My First Love,4:28,Rock,11/4/00,12/16/00,70,62,56,43
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,4/8/00,8/19/00,80,80,80,79
2000,Da Brat,What'Chu Like,3:57,Rap,6/3/00,8/12/00,71,65,54,54
2000,DMX,Party Up (Up In Here),3:45,Rap,2/26/00,4/22/00,88,74,62,56
2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,11/27/99,1/29/00,79,72,70,61
2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,10/21/00,12/16/00,73,62,56,52
2000,"Tritt, Travis",Best Of Intentions,4:15,Country,8/19/00,12/2/00,97,86,79,70
2000,Alice Deejay,Better Off Alone,6:50,Electronica,4/8/00,6/3/00,79,65,53,48
2000,Hoku,Another Dumb Blonde,3:47,Pop,2/19/00,4/8/00,69,49,49,34
2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2/19/00,3/25/00,83,83,83,40
2000,Counting Crows,Hanginaround,4:07,Rock,11/6/99,1/29/00,84,70,66,60
2000,Mary Mary,Shackles (Praise You),3:12,Rock,3/25/00,5/13/00,90,76,72,54
2000,"Carey, Mariah",Crybaby,5:19,Rock,6/24/00,6/24/00,28,34,48,62
2000,"McGraw, Tim",My Best Friend,4:33,Country,11/27/99,1/29/00,85,76,71,64
2000,Sugar Ray,Falls Apart,4:15,Rock,1/15/00,2/19/00,70,64,54,40
2000,Madonna,American Pie,4:30,Rock,2/19/00,3/4/00,43,35,29,29
2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,4/22/00,7/8/00,81,71,65,50
2000,"Paisley, Brad",We Danced,3:45,Country,10/14/00,12/16/00,71,68,52,52
2000,Lonestar,What About Now,3:30,Country,6/10/00,8/19/00,78,72,66,64
2000,"Backstreet Boys, The",The One,3:46,Rock,5/27/00,7/1/00,58,50,43,37
2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,1/29/00,4/8/00,77,72,59,53
2000,"Strait, George",The Best Day,3:24,Country,1/29/00,4/22/00,73,64,54,45
2000,"Dixie Chicks, The",Without You,3:32,Country,10/7/00,12/23/00,80,70,63,56
2000,Musiq,Just Friends (Sunny),4:02,Rap,10/14/00,12/30/00,89,83,65,55
2000,"McEntire, Reba",What Do You Say,3:26,Country,10/30/99,1/29/00,88,76,71,71
2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,7/29/00,9/2/00,76,69,51,42
2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,12/4/99,1/22/00,90,84,79,67
2000,"Fabian, Lara",I Will Love Again,3:43,Pop,6/10/00,8/12/00,91,80,75,61
2000,Bon Jovi,It's My Life,3:44,Rock,8/12/00,9/30/00,64,58,51,51
2000,"Evans, Sara",Born To Fly,5:36,Country,10/21/00,12/30/00,77,71,64,57
2000,"Chesney, Kenny",I Lost It,3:54,Country,10/21/00,12/23/00,75,67,61,58
2000,J-Shin,One Night Stand,4:34,R&B,12/25/99,2/26/00,96,96,69,74
2000,Eve,Love Is Blind,3:51,Rap,1/8/00,2/19/00,94,91,57,46
2000,Aaliyah,I Don't Wanna,4:15,Rock,1/29/00,3/4/00,84,62,51,41
2000,"Montgomery, John Michael",The Little Girl,3:52,Country,9/9/00,10/28/00,81,67,64,56
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,8/26/00,9/16/00,99,75,57,35
2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,9/30/00,12/2/00,81,81,76,67
2000,Ice Cube,You Can Do It,4:20,Rap,12/4/99,1/15/00,86,66,50,42
2000,"Wills, Mark",Back At One,4:00,Country,1/15/00,2/26/00,89,55,51,43
2000,Lucy Pearl,Dance Tonight,3:45,R&B,5/20/00,7/29/00,80,75,63,59
2000,"Jackson, Alan",It Must Be Love,2:53,Country,6/24/00,9/2/00,76,74,68,63
2000,"Griggs, Andy",She's More,3:19,Country,3/11/00,6/10/00,81,76,69,67
2000,No Doubt,Simple Kind Of Life,4:11,Rock,7/1/00,7/22/00,50,40,39,38
2000,"Jean, Wyclef",911,4:00,Rap,10/7/00,11/25/00,77,74,64,61
2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,5/6/00,8/12/00,87,78,72,68
2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,4/15/00,6/10/00,81,64,54,54
2000,"Gilman, Billy",One Voice,4:07,Country,6/17/00,9/2/00,86,86,82,72
2000,Lonestar,Smile,3:33,Country,12/18/99,2/12/00,89,80,80,80
2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,3/11/00,5/6/00,79,72,65,65
2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,1/29/00,4/8/00,80,73,61,61
2000,"Strait, George",Go On,3:48,Country,8/26/00,10/28/00,71,67,63,56
2000,Sisqo,Got To Get It,3:52,Rock,11/20/99,1/22/00,92,76,73,58
2000,Baha Men,Who Let The Dogs Out,3:17,R&B,7/22/00,10/21/00,99,92,85,76
2000,"Walker, Clay",The Chain Of Love,5:03,Country,4/15/00,6/10/00,73,65,57,57
2000,"McBride, Martina",Love's The Only House,5:13,Country,2/5/00,4/15/00,79,69,65,58
2000,Amber,Sexual (Li Da Di),4:38,Rock,7/17/99,2/12/00,99,99,96,96
2000,"Tippin, Aaron",Kiss This,2:53,Country,8/26/00,10/21/00,74,72,66,53
2000,SheDaisy,I Will.. But,3:40,Country,7/15/00,9/16/00,78,74,70,61
2000,"Raye, Collin",Couldn't Last A Moment,3:40,Country,3/18/00,6/24/00,91,85,75,73
2000,Black Rob,Whoa!,4:04,Rap,3/4/00,4/15/00,78,59,53,52
2000,"Jackson, Alan",Pop A Top,3:04,Country,11/13/99,1/22/00,79,73,70,64
2000,"Black, Clint",Been There,5:28,Country,2/19/00,4/15/00,87,73,62,58
2000,Common,The Light,3:55,Rap,8/5/00,9/9/00,75,55,53,49
2000,"Vassar, Phil",Carlene,4:07,Country,3/4/00,4/22/00,75,67,64,64
2000,"Jackson, Alan",www.memory,2:36,Country,11/4/00,12/23/00,75,59,59,54
2000,Vitamin C,The Itch,3:30,Rock,12/2/00,12/16/00,86,48,45,52
2000,"Eastsidaz, The",G'D Up,4:27,Rap,1/8/00,2/12/00,77,77,89,64
2000,Ideal,Whatever,3:48,R&B,6/10/00,8/19/00,75,75,67,73
2000,"Thomas, Carl",Emotional,4:31,Rock,11/25/00,12/30/00,77,63,61,58
2000,Ginuwine,None Of Ur Friends Business,4:12,Rock,12/11/99,1/22/00,94,84,71,71
2000,"Davidson, Clay",Unconditional,3:56,Country,3/25/00,6/17/00,97,97,97,90
2000,DMX,What You Want,4:05,Rap,7/1/00,9/23/00,98,95,95,87
2000,"John, Elton",Someday Out Of The Blue,4:41,Rock,4/22/00,5/6/00,56,56,49,59
2000,Pearl Jam,Nothing As It Seems,5:20,Rock,5/13/00,5/13/00,49,70,84,89
2000,Mya,The Best Of Me,4:12,Rock,4/15/00,5/20/00,85,70,65,62
2000,"Heatherly, Eric",Flowers On The Wall,3:16,Country,4/29/00,8/12/00,95,88,88,82
2000,Eminem,Stan,5:26,Rap,11/4/00,12/2/00,78,67,57,57
2000,"McEntire, Reba",I'll Be,4:23,Country,5/13/00,7/29/00,89,79,79,72
2000,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2/19/00,4/8/00,79,79,66,54
2000,"Urban, Keith",Your Everything,4:10,Country,7/15/00,9/16/00,81,80,73,73
2000,TLC,Dear Lie,4:36,Rock,2/12/00,3/4/00,63,55,52,51
2000,"Gill, Vince",Feels Like Love,4:13,Country,9/2/00,11/18/00,82,76,74,73
2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,6/17/00,8/5/00,74,68,68,67
2000,Bloodhound Gang,The Bad Touch,4:20,R&B,3/18/00,4/15/00,70,62,55,55
2000,"Williams, Robbie",Angels,3:56,Rock,11/20/99,1/22/00,85,77,69,69
2000,"Messina, Jo Dee",Because You Love Me,3:50,Country,1/29/00,3/11/00,83,78,71,71
2000,"Keith, Toby",Country Comes To Town,3:39,Country,8/5/00,10/14/00,82,78,75,69
2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,10/21/00,12/2/00,72,72,63,56
2000,"Hill, Faith",Let's Make Love,4:11,Rap,8/12/00,10/21/00,83,83,73,73
2000,Kelis,Caught Out There,4:09,R&B,12/4/99,1/8/00,84,68,67,63
2000,Jay-Z,Anything,3:41,Rap,2/26/00,3/11/00,72,58,55,55
2000,3 Doors Down,Loser,4:24,Rock,10/21/00,12/2/00,76,76,72,69
2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,6/10/00,9/9/00,95,85,85,85
2000,"Chesney, Kenny",What I Need To Do,4:05,Country,4/1/00,6/10/00,79,74,68,72
2000,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,12/25/99,1/22/00,86,86,74,66
2000,Da Brat,That's What I'm Looking For,3:44,Rap,2/26/00,4/15/00,93,73,60,60
2000,SheDaisy,This Woman Needs,3:20,Country,2/5/00,3/4/00,82,70,70,67
2000,Papa Roach,Last Resort,3:19,Rock,7/29/00,12/2/00,75,71,69,69
2000,"Adams, Yolanda",Open My Heart,5:30,Gospel,8/26/00,10/21/00,76,76,74,69
2000,Shyne,Bad Boyz,4:22,Rap,9/9/00,10/28/00,94,87,90,90
2000,R.E.M.,The Great Beyond,4:10,Rock,12/25/99,1/29/00,79,79,70,62
2000,"Diffie, Joe",It's Always Somethin',2:55,Country,8/12/00,9/16/00,81,78,67,63
2000,"McGraw, Tim",Some Things Never Change,3:56,Country,5/13/00,7/1/00,76,66,66,65
2000,"Henley, Don",Taking You Home,4:08,Rock,6/24/00,8/5/00,79,77,74,73
2000,Eminem,The Way I Am,4:40,Rap,8/26/00,9/30/00,87,74,59,65
2000,Nas,You Owe Me,3:51,R&B,3/25/00,4/15/00,74,72,68,59
2000,Sister Hazel,Change Your Mind,4:02,Rock,7/15/00,8/5/00,75,67,66,59
2000,Puff Daddy,Best Friend,5:33,Rap,2/12/00,2/19/00,65,59,62,79
2000,"McBride, Martina",There You Are,3:26,Country,9/9/00,10/21/00,79,75,75,75
2000,Usher,Pop Ya Collar,3:36,Rock,11/4/00,11/18/00,68,64,60,60
2000,Lil' Kim,No Matter What They Say,4:12,Rap,7/15/00,8/5/00,80,72,67,60
2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,4/15/00,4/22/00,63,61,68,73
2000,SheDaisy,Deck The Halls,3:46,Country,12/25/99,1/1/00,97,61,NA,NA
2000,Splender,I Think God Can Explain,3:55,R&B,6/10/00,6/24/00,71,66,62,62
2000,"Simpson, Jessica",Where You Are,3:51,Rock,4/1/00,4/15/00,73,66,62,62
2000,M2M,Mirror Mirror,3:19,Pop,4/1/00,5/27/00,87,87,94,91
2000,Kumbia Kings,U Don't Love Me,3:50,R&B,3/4/00,3/18/00,81,64,62,67
2000,Joe,Treat Her Like A Lady,4:12,Rock,8/5/00,8/19/00,77,75,63,63
2000,"Blige, Mary J.",Deep Inside,5:26,Rock,11/13/99,1/22/00,83,80,80,75
2000,"Price, Kelly",You Should've Told Me,3:12,Rock,9/23/00,12/2/00,91,91,91,87
2000,Changing Faces,That Other Woman,4:00,Rock,9/30/00,10/28/00,80,72,66,66
2000,"Wright, Chely",It Was,3:51,R&B,3/4/00,4/15/00,86,78,75,72
2000,Limp Bizkit,Rollin',4:04,Rock,11/11/00,12/9/00,77,73,72,66
2000,Hot Boys,I Need A Hot Girl,4:16,Rap,2/19/00,3/11/00,77,75,71,65
2000,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,1/15/00,1/29/00,95,68,65,65
2000,"Adkins, Trace",More,3:05,Country,4/29/00,6/17/00,84,84,75,73
2000,"Dixie Chicks, The",Cold Day In July,5:12,Country,6/24/00,8/5/00,80,79,76,72
2000,"Price, Kelly",As We Lay,6:20,Rock,7/15/00,8/5/00,82,69,69,64
2000,DMX,What's My Name,3:50,Rap,1/15/00,2/12/00,98,76,69,69
2000,"Martin, Ricky",Private Emotion,4:02,Latin,3/11/00,3/18/00,76,67,71,78
2000,Nine Days,If I Am,4:18,Rock,12/2/00,12/2/00,68,68,81,94
2000,"Blige, Mary J.",Give Me You,5:00,Rock,4/15/00,5/13/00,97,94,77,76
2000,Red Hot Chili Peppers,Californication,5:21,Rock,7/29/00,10/14/00,72,72,72,77
2000,Third Eye Blind,Deep Inside Of You,4:10,Rock,9/2/00,10/7/00,80,73,70,70
2000,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2/19/00,3/18/00,86,81,72,70
2000,"Offspring, The",Original Prankster,3:42,Rock,11/25/00,12/9/00,74,71,70,70
2000,"Anthony, Marc",My Baby You,3:59,Latin,9/16/00,10/7/00,82,76,76,70
2000,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,6/17/00,7/15/00,71,71,71,71
2000,D'Angelo,Left & Right,4:35,R&B,12/11/99,1/1/00,93,77,75,70
2000,"Kravitz, Lenny",I Belong To You,4:17,Rock,3/25/00,4/8/00,78,77,71,71
2000,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,9/16/00,11/18/00,98,93,93,93
2000,Q-Tip,Breathe And Stop,4:06,Rock,1/22/00,1/22/00,71,71,81,82
2000,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,9/9/00,9/16/00,82,71,79,83
2000,Lil Wayne,Tha Block Is Hot,4:13,Rap,12/4/99,1/8/00,99,89,92,84
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2/26/00,3/11/00,87,82,72,77
2000,"Wallflowers, The",Sleepwalker,3:29,Rock,10/28/00,10/28/00,73,73,74,80
2000,Drama,"Left, Right, Left",3:37,Rap,2/12/00,3/18/00,100,98,89,80
2000,Limp Bizkit,N 2 Gether Now,3:55,Rock,12/4/99,1/8/00,94,88,85,78
2000,Lox,"Ryde or Die, Chick",3:56,Rap,3/18/00,3/25/00,86,73,80,84
2000,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,3/18/00,4/29/00,95,94,91,85
2000,"Walker, Clay","Live, Laugh, Love",4:06,Country,12/4/99,1/22/00,95,95,94,94
2000,Metallica,No Leaf Clover (Live),5:43,Rock,2/12/00,3/11/00,86,81,78,76
2000,Yankee Grey,Another Nine Minutes,3:10,Country,4/29/00,5/20/00,86,83,77,74
2000,"Bega, Lou",Tricky Tricky ,3:23,Rock,1/29/00,2/5/00,75,74,87,NA
2000,Big Punisher,It's So Hard,3:25,Rap,4/22/00,5/6/00,96,87,75,79
2000,"Worley, Darryl",When You Need My Love,3:35,Country,6/17/00,9/2/00,98,88,93,92
2000,Lil' Kim,How Many Licks?,3:50,Rap,11/25/00,12/2/00,79,75,77,86
2000,"Clark, Terri",A Little Gasoline,3:07,Country,12/16/00,12/16/00,75,82,88,96
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,1/1/00,1/8/00,93,75,92,NA
2000,"Cagle, Chris",My Love Goes On And On,3:02,Country,10/21/00,12/2/00,99,94,94,87
2000,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,1/29/00,2/12/00,81,77,76,76
2000,Metallica,I Disappear,4:26,Rock,5/13/00,6/17/00,86,84,88,81
2000,Jay-Z,Hey Papi,3:40,Rap,8/12/00,10/7/00,98,100,98,94
2000,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,11/13/99,1/22/00,94,94,94,87
2000,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,3/18/00,4/8/00,84,83,83,76
2000,"McKnight, Brian",Stay Or Let It Go,4:32,Rock,2/26/00,3/25/00,95,92,82,78
2000,"Allan, Gary",Smoke Rings In The Dark,4:18,Country,1/22/00,2/5/00,80,78,76,77
2000,Ginuwine,The Best Man I Can Be,4:06,Rock,1/8/00,3/4/00,97,97,83,94
2000,Before Dark,Monica,4:04,Rock,5/20/00,6/17/00,95,87,80,80
2000,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,6/10/00,6/10/00,77,NA,NA,NA
2000,Stone Temple Pilots,Sour Girl,4:16,Rock,7/8/00,7/29/00,79,79,79,78
2000,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,3/4/00,3/25/00,87,83,81,79
2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,9/23/00,11/11/00,97,97,97,92
2000,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,11/18/00,12/16/00,87,86,81,92
2000,"Thomas, Carl",Summer Rain,4:57,Rock,9/23/00,10/14/00,82,82,86,80
2000,"Yearwood, Trisha",Real Live Woman,3:55,Country,4/1/00,4/29/00,85,83,83,82
2000,Trick Daddy,Shut Up,4:17,Rap,5/20/00,6/17/00,99,95,87,87
2000,"Moore, Chante",Straight Up,3:40,Rock,10/28/00,12/2/00,98,98,97,90
2000,Cam'ron,What Means The World To You,4:38,Rap,10/14/00,11/18/00,94,94,96,91
2000,Juvenile,U Understand,3:51,Rap,2/5/00,2/12/00,85,83,100,98
2000,"Hollister, Dave",Can't Stay,6:17,Rock,3/25/00,3/25/00,84,84,93,98
2000,Tamia,Can't Go For That,3:38,Rock,9/16/00,9/30/00,90,86,84,88
2000,LFO,West Side Story,3:27,Rock,8/5/00,8/12/00,96,84,88,96
2000,"Paisley, Brad",Me Neither,3:19,Country,5/13/00,5/20/00,87,85,90,92
2000,"Carter, Torrey",Take That,3:43,Rock,6/24/00,7/8/00,94,88,86,91
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,9/2/00,9/9/00,91,87,92,NA
2000,Madison Avenue,Don't Call Me Baby,3:44,Electronica,7/8/00,9/16/00,98,96,93,93
2000,Eve,Got It All,3:48,Rap,7/15/00,7/22/00,89,88,88,91
2000,Limp Bizkit,Re-Arranged,4:08,Rock,12/4/99,2/5/00,91,91,90,95
2000,"Spencer, Tracie",Still In My Heart,4:11,Rock,3/4/00,3/11/00,95,88,98,NA
2000,Nu Flavor,3 Little Words,3:54,R&B,6/3/00,6/17/00,97,97,89,89
