Pop_Code,Region,Collection_Date,Latitude,Longitude,Altitude,Pop_Size,Pct_Canopy_Cover,RosCount,AdultCount,RosDens,AdultDens,TotalDens,AvgRosWidth,AvgAdultHeight,AvgNLeaves,AvgNFruits,Herb,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
AFRHM1,NorthAm,6/18/10,43.881412,-79.458386,240,500,85,0,802,0,160.4,160.4, ,56.63265306,6.571428571,6.816326531,0.502426598,7.099452496,9.526335716,0.258912832,0.033582851,25.93230057,-10.86130047,36.79359818,18.59975052,-3.614001036,18.75756454,-5.38092041,797.9995728,19.05529976,11.74979973,0.128917724,231.0316925,164.2458954,230.4223022,172.9172058
AKPTC1,Europe,5/28/11,46.41666667,15.86666667,232,10,70,4,232,0.8,46.4,47.2,16,67.98,10.56,14.18,0.791461867,9.84611702,9.674915314,0.318456292,0.025405057,25.59679985,-4.78387022,30.38067055,18.45628166,1.309801102,18.76558876,0.414501548,944.0001831,25.0345993,10.1243,0.270276248,315.5216064,147.4369965,313.2428894,157.4069977
AMGRAN1,NorthAm,6/12/11,40.075634,-82.527055,328,350,90,130,41,26,8.2,34.2,46.25633333,63.34210526,10.26315789,13.05263158,0.261466165,10.07692528,11.93444729,0.321263939,0.031331915,28.58390045,-8.564519882,37.14841843,19.63437462,-1.798064947,20.98802376,-1.798064947,1017.000305,25.37269974,13.36620045,0.191184118,316.8357849,196.7380981,305.3691101,196.7380981
ANMAB1,Europe,6/6/10,46.561,15.619,266,32,60,3,79,0.6,15.8,16.4,7.333333333,77.5,32.68181818,66.5,0.711281191,8.562811852,9.791023254,0.320102692,0.025416819,24.48390007,-6.10323,30.58712959,17.18421745,0.068176039,17.48148918,-0.792942703,1009.00061,27.9762001,10.8132,0.295638949,348.9721985,152.9651947,346.7235107,161.5686035
APBRE1,Europe,5/29/09,53.10965278,8.844502778,1,100,80,339,176,75.33333333,39.11111111,114.4444444,12.48837209,58.66666667,8.333333333,11.43333333,0.425913032,8.895777702,7.998273373,0.335470587,0.020641571,21.9612999,-1.880650043,23.84194946,16.22898102,3.738820076,16.2370472,1.459908843,724.9998169,18.57019997,10.36629963,0.172867686,225.3791962,141.949707,225.2528992,159.3383942
APBRE2,Europe,5/29/09,53.10656111,8.841858333,2,40,45,115,173,23,34.6,57.6,5.947368421,53.34146341,7.219512195,7.853658537,0.267705804,8.895777702,7.998273373,0.335470587,0.020641571,21.9612999,-1.880650043,23.84194946,16.22898102,3.738820076,16.2370472,1.459908843,724.9998169,18.57019997,10.36629963,0.172867686,225.3791962,141.949707,225.2528992,159.3383942
APBRE3,Europe,5/29/09,53.10632222,8.843216667,3,25,90,173,84,34.6,16.8,51.4,9.604651163,56.23809524,8.666666667,12.47619048,0.336530168,8.895777702,7.998273373,0.335470587,0.020641571,21.9612999,-1.880650043,23.84194946,16.22898102,3.738820076,16.2370472,1.459908843,724.9998169,18.57019997,10.36629963,0.172867686,225.3791962,141.949707,225.2528992,159.3383942
APBRE4,Europe,6/2/09,53.09743056,8.832458333,12,50,70,7,101,1.4,20.2,21.6,4.333333333,62.65909091,14.63636364,16.5,0.12393241,8.929080009,7.914475918,0.334491044,0.020565059,21.88059998,-1.78065002,23.66124916,16.2319622,3.753165007,16.24275398,1.524997354,732.0001221,18.57029915,10.36639977,0.169952124,226.434494,143.2704926,226.2413025,160.5888062
APBRE5,Europe,6/2/09,53.09699167,8.831244444,11,15,70,196,32,39.2,6.4,45.6,17.3,62.08333333,11.66666667,24,0.235578014,8.929080009,7.914475918,0.334491044,0.020565059,21.88059998,-1.78065002,23.66124916,16.2319622,3.753165007,16.24275398,1.524997354,732.0001221,18.57029915,10.36639977,0.169952124,226.434494,143.2704926,226.2413025,160.5888062
APBRE6,Europe,6/2/09,53.10310833,8.840405556,4,100,90,38,57,8.444444444,12.66666667,21.11111111,8.071428571,69.9,11.46666667,14.73333333,0.77655118,8.895777702,7.998273373,0.335470587,0.020641571,21.9612999,-1.880650043,23.84194946,16.22898102,3.738820076,16.2370472,1.459908843,724.9998169,18.57019997,10.36629963,0.172867686,225.3791962,141.949707,225.2528992,159.3383942
APCUX1,Europe,6/3/09,53.80685833,8.659608333,23,5,70,122,49,48.8,19.6,68.4,4,52.54545455,8.454545455,6.636363636,0.236147186,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX10,Europe,6/17/09,53.80349722,8.606777778,10,10,95,85,30,24.28571429,8.571428571,32.85714286,9.551724138,92.75,10.8125,18.9375,0.192051091,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX2,Europe,6/3/09,53.80797222,8.6602,22,80,80,382,76,76.4,15.2,91.6,5.270833333,65.28,9.32,19.8,0.214715501,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX3,Europe,6/3/09,53.64133333,8.850872222,17,10,75,4,61,1.333333333,20.33333333,21.66666667,4.5,107.7777778,12.16666667,34.77777778,0.128438505,8.558514595,7.855136395,0.330226749,0.020561289,21.28709984,-2.5,23.78709984,15.82493496,3.918053389,15.82493496,1.131071091,762.0001221,18.36050034,8.983360291,0.176451474,230.4080048,142.4521027,230.4080048,164.1764069
APCUX4,Europe,6/4/09,53.80461944,8.583408333,3,5,80,48,28,19.2,11.2,30.4,4.571428571,79,10.33333333,17.77777778,0.05,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX5,Europe,6/4/09,53.80007222,8.583752778,3,7,55,6,36,1.714285714,10.28571429,12,4.2,97.33333333,8.833333333,18.75,0.035416667,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX6,Europe,6/4/09,53.79766667,8.584752778,5,15,75,121,75,26.88888889,16.66666667,43.55555556,8.514285714,73.47826087,8.913043478,14.52173913,0.176210263,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX7,Europe,6/4/09,53.79496944,8.584541667,1,10,35,0,69,0,13.8,13.8, ,97.32142857,10.71428571,26.42857143,0.105680034,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX8,Europe,6/4/09,53.79985278,8.579222222,2,10,65,0,60,0,15,15, ,102.5,11.45833333,28.375,0.17732129,8.637544632,7.462700844,0.321847111,0.020299355,21.08709908,-2.099999905,23.18709946,15.84855747,4.641104221,15.84855747,1.34068644,778,18.68029976,8.292429924,0.188513607,230.9414063,142.1952057,230.9414063,167.6683044
APCUX9,Europe,6/5/09,53.744,9.079552778,28,25,90,123,39,27.33333333,8.666666667,36,8.24,69.83333333,13.88888889,25.88888889,0.181163589,8.450286865,7.738355637,0.32567054,0.020584824,21.16130066,-2.599999905,23.76129913,15.62694645,3.799628496,15.70312405,1.003217101,777.9998169,19.27260017,9.443110466,0.184754223,235.8085938,143.1511078,235.5263062,168.4697113
ARBBL1,Europe,6/1/09,53.18385278,8.591647222,30.2,200,30,48,131,9.6,26.2,35.8,7.444444444,68.13513514,17.02702703,18.05405405,0.096434646,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBBL2,Europe,6/1/09,53.18237222,8.591577778,24.1,150,25,117,95,23.4,19,42.4,9.2,65.02941176,16.5,26.14705882,0.034051551,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBBL3,Europe,6/1/09,53.18216111,8.587111111,19.5,60,30,112,124,22.4,24.8,47.2,8.428571429,84.8,14.31428571,19.54285714,0.086163598,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBFA1,Europe,6/14/09,53.20105278,8.523519444,8.9,50,5,86,32,21.5,8,29.5,8.333333333,79.95,13.9,33.15,0.291459286,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBFA2,Europe,6/14/09,53.19973611,8.523802778,8.5,10,95,105,61,23.33333333,13.55555556,36.88888889,13.08823529,66.625,11.625,21.45833333,0.361378366,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBSH1,Europe,6/6/09,53.181425,8.645216667,5.8,20,70,134,110,26.8,22,48.8,7.837209302,70.88888889,12.55555556,34.16666667,0.09405693,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBST1,Europe,6/3/09,53.19133333,8.662647222,8.5,10,10,0,80,0,16,16, ,86.96969697,13.48484848,43.54545455,0.032288386,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBST2,Europe,6/3/09,53.19211667,8.661466667,9.8,10,15,1,59,0.2,11.8,12,7,90.93333333,15.96666667,38.36666667,0.093359791,8.808031082,7.75520134,0.332841277,0.020378333,21.5,-1.799999952,23.29999924,16.06565666,4.21650362,16.08091545,1.52237761,752.0001221,17.96949959,9.445509911,0.166372612,229.3155975,145.1345062,228.3569031,162.7966156
ARBST3,Europe,6/3/09,53.17986389,8.674525,38.1,10,15,68,118,13.6,23.6,37.2,8.870967742,73.7804878,16.04878049,43.58536585,0.223088145,8.729060173,7.864273071,0.334926397,0.020509195,21.58060074,-1.899999976,23.48060036,16.0032711,4.160359383,16.02039337,1.36609745,750.9997559,18.1704998,9.906450272,0.161944151,228.9019928,146.6346436,228.4635925,166.407547
ARBVG1,Europe,6/6/09,53.16209167,8.646988889,14.3,15,30,108,183,21.6,36.6,58.2,7.56097561,50.58974359,8.384615385,8.666666667,0.161119223,8.857886314,7.855491638,0.335704774,0.020424189,21.60000038,-1.799999952,23.39999962,16.09915733,4.340881348,16.10858536,1.502218604,748.0004272,18.54290009,10.36760044,0.161613718,228.8643951,147.2725067,228.1434937,166.9161987
ARBVG2,Europe,6/6/09,53.16170278,8.649463889,10.1,10,5,132,48,26.4,9.6,36,8.571428571,59.77272727,6.590909091,16.04545455,0.457936508,8.857886314,7.855491638,0.335704774,0.020424189,21.60000038,-1.799999952,23.39999962,16.09915733,4.340881348,16.10858536,1.502218604,748.0004272,18.54290009,10.36760044,0.161613718,228.8643951,147.2725067,228.1434937,166.9161987
ARBVK1,Europe,5/31/09,53.16364444,8.669966667,24.7,30,10,107,260,21.4,52,73.4,5.066666667,62.77777778,9.422222222,8.066666667,0.138425648,8.929080009,7.914475918,0.334491044,0.020565059,21.88059998,-1.78065002,23.66124916,16.2319622,3.753165007,16.24275398,1.524997354,732.0001221,18.57029915,10.36639977,0.169952124,226.434494,143.2704926,226.2413025,160.5888062
ARBVK2,Europe,5/31/09,53.16626111,8.6704,33.5,60,30,0,97,0,19.4,19.4, ,92.11111111,16.22222222,46.91666667,0.03916122,8.929080009,7.914475918,0.334491044,0.020565059,21.88059998,-1.78065002,23.66124916,16.2319622,3.753165007,16.24275398,1.524997354,732.0001221,18.57029915,10.36639977,0.169952124,226.434494,143.2704926,226.2413025,160.5888062
ARBVK3,Europe,6/6/09,53.16789167,8.668397222,32.6,100,10,18,181,3.6,36.2,39.8,5.75,82.41304348,12.63043478,19.34782609,0.079515869,8.729060173,7.864273071,0.334926397,0.020509195,21.58060074,-1.899999976,23.48060036,16.0032711,4.160359383,16.02039337,1.36609745,750.9997559,18.1704998,9.906450272,0.161944151,228.9019928,146.6346436,228.4635925,166.407547
ASGRP1,NorthAm,6/3/09,45.10435,-64.31857,15,180,1,1290,1206,258,241.2,499.2,7.32,75.66,11.84,20.58,0.097719256,6.313426495,10.11732864,0.285826087,0.03057728,24.59679985,-10.80000019,35.39680099,-1.518629432,14.27235508,17.17166328,-4.855840206,1261,30.86260033,20.11750031,0.150160104,386.9548035,268.4661865,272.6276855,360.3911133
AUSWI1,Europe,7/11/11,50.2554,18.5738,282,25,30,102,96,20.4,19.2,39.6,5.125,86.89285714,7.392857143,16.14285714,0.530641878,8.561808586,8.855618477,0.296878994,0.02589453,24.03549957,-5.793550014,29.82905006,17.20000458,-0.409428954,17.49962997,-1.204370856,680.0003052,21.36440086,7.359099865,0.382830441,266.093689,101.9627838,262.2138977,105.6921616
AWLHH1,Europe,6/6/11,51.56055556,-0.1625,89,30,90,47,24,11.75,6,17.75,7.615384615,41.66666667,10.11111111,8,0.525761892,10.86006927,7.894484997,0.367240161,0.016891334,22.93549919,1.438709974,21.49678993,8.790920258,7.138834,17.21065331,4.991580009,622.0003052,13.83619976,8.993499756,0.109777272,177.2438049,133.7493286,153.6141968,152.6643372
AWLHH2,Europe,6/6/11,51.55944444,-0.1625,83,15,80,196,3,39.2,0.6,39.8,14.62,52.66666667,15,23,0.464270153,10.86006927,7.894484997,0.367240161,0.016891334,22.93549919,1.438709974,21.49678993,8.790920258,7.138834,17.21065331,4.991580009,622.0003052,13.83619976,8.993499756,0.109777272,177.2438049,133.7493286,153.6141968,152.6643372
AWSSM1,NorthAm,6/24/10,46.50898056,-84.25555556,180,287,60,6538,249,1307.6,49.8,1357.4,9.342857143,85.93243243,15.16216216,28,0.428030704,3.742323637,10.64382267,0.267888427,0.035704549,23.33230019,-16.39999962,39.7322998,9.55243206,-4.273634434,15.71233654,-9.625114441,939.0001221,23.17289925,12.20680046,0.174396098,283.2774963,177.5823975,260.6437988,200.1031952
BBCIN1,NorthAm,6/15/11,39.15586667,-84.58543333,239.3,12810,65,580,0,116,0,116,4.22, , , , ,11.90867424,11.61573887,0.318548888,0.03078804,30.00970078,-6.454840183,36.46453857,13.48233318,0.345682412,22.77381897,0.260041535,1063.000244,25.99990082,15.68620014,0.149208069,313.4045105,223.2592926,288.5762024,224.0128937
BBCIN2,NorthAm,6/16/11,39.16131667,-84.59138333,234,30000,80,683,1,136.6,0.2,136.8,2.57,32.23333333,6.2,4.533333333,0.143679654,11.90867424,11.61573887,0.318548888,0.03078804,30.00970078,-6.454840183,36.46453857,13.48233318,0.345682412,22.77381897,0.260041535,1063.000244,25.99990082,15.68620014,0.149208069,313.4045105,223.2592926,288.5762024,224.0128937
BBCIN3,NorthAm,6/16/11,39.17488333,-84.57721667,272,39150,75,306,2,61.2,0.4,61.6,6.74,31.5,6.5,7,0.3875,11.63862514,11.70816708,0.318463594,0.031025095,29.90970039,-6.854839802,36.76454163,13.24462414,-0.038548462,22.5530777,-0.128548458,1053.999878,26.18320084,15.45400047,0.151780471,311.0946045,219.2792053,286.8157043,219.5635986
BBCIN4,NorthAm,6/21/11,39.15083333,-84.47603333,195,210,85,468,1,93.6,0.2,93.8,2.744444444,9,6,1,0.666666667,11.92538929,11.78171635,0.321451277,0.030764258,30.09679985,-6.554840088,36.65164185,13.47626019,0.353566796,22.77568436,0.265746146,1060.999878,25.78120041,15.68449974,0.146585926,311.1087036,222.1851959,289.7260132,222.8157043
BHB,NorthAm,7/1/10,42.36396667,-71.20921667,17.68,20,80,41,162,8.2,32.4,40.6,4.375,77.2,9.625,20.5,0.014360902,9.35329628,11.48160076,0.314036757,0.030716721,27.85810089,-8.703229904,36.56132889,1.678391099,19.78136826,20.29836464,-2.021968365,1129.999756,26.77050018,19.17779922,0.085735388,314.1184998,256.4021912,258.8588867,291.1559143
BMBL01,NorthAm,5/24/11,36.115833,-81.653611,1077,50,80,129,117,25.8,23.4,49.2,5.292105263,61.95681818,28.5,61.45454545,0.022676579,12.20643139,13.01685143,0.393181503,0.025279799,28.52260017,-4.583869934,33.1064682,20.01801682,3.333603144,21.24801445,2.75052619,1340.000122,29.30010033,21.71750069,0.088903464,364.8988037,291.4544067,360.2225037,297.4298096
BMBL02,NorthAm,6/6/11,36.142778,-81.696944,1140,30,95,442,115,88.4,23,111.4,4.276315789,88.4047619,26.71428571,69.92857143,0.029154959,11.1472435,12.53295326,0.3877846,0.024881428,26.93549919,-5.383870125,32.31937027,18.7621994,2.479901314,19.99057007,1.85394001,1394.000366,30.45339966,22.64660072,0.089103229,380.7892151,304.0690918,374.5427856,309.8483887
BNC,NorthAm,6/30/10,42.29,-71.10166667,11.3,20,80,18,130,4,28.88888889,32.88888889,5.125,63.57142857,11.92857143,18.67857143,0.023220883,9.780890465,10.87273502,0.304998964,0.03003514,27.84519958,-7.803229809,35.64842987,2.362924576,19.49471855,20.57163811,-1.305823088,1153.000244,26.77359962,18.76460075,0.090476505,322.2268982,256.2810059,260.5993958,302.0705872
BRSGR1,Europe,5/13/10,46.51793333,15.082,462,3,65,71,28,14.2,5.6,19.8,9.435897436,93.11111111,71.61111111,107.6666667,0.692730789,7.017333508,9.500649452,0.31449002,0.025570076,22.89679909,-7.312900066,30.20969963,15.88644695,-1.440446734,15.97143555,-2.34381938,1095,30.05130005,12.00979996,0.281183869,374.306488,172.7064972,372.7774963,178.5894012
BTKAT1,Europe,7/29/11,50.214637,18.985771,283,20,80,60,50,12,10,22,19.62790698,101.1,9.1,58.85,0.965914708,8.563886642,8.771748543,0.286597848,0.026742268,24.22260094,-6.383870125,30.60647011,17.39426613,-0.783871174,17.70182991,-1.638186574,694.0001831,22.03199959,7.359340191,0.382776082,272.0759888,104.9335938,268.010498,108.7576828
BWPEM1,NorthAm,7/24/09,37.373261,-80.524986,1156,300,85,101,15,25.25,3.75,29,12.55555556,38.35714286,2.571428571,11,1,9.846876144,12.49583435,0.374018282,0.026458493,26.33550072,-7.07419014,33.40969086,17.89456367,0.199978083,19.12333107,-0.089059234,1044.999634,24.3118,16.6692009,0.109368093,296.3508911,222.4653015,287.5632935,224.0223999
BWPEM2,NorthAm,7/25/09,37.367053,-80.53314,1186,350,80,19,50,3.8,10,13.8,7.5,57.33333333,1.857142857,17.85714286,1,9.846876144,12.49583435,0.374018282,0.026458493,26.33550072,-7.07419014,33.40969086,17.89456367,0.199978083,19.12333107,-0.089059234,1044.999634,24.3118,16.6692009,0.109368093,296.3508911,222.4653015,287.5632935,224.0223999
BZVAN1,NorthAm,7/8/10,49.253116,-123.245066,77.7,23,90,52,155,10.4,31,41.4,10.66666667,59.56410256,16.93333333,44,0.662916662,7.290291825,8.459116166,0.354333618,0.018883538,20.95484435,-3.091296299,24.04614062,1.527412803,14.22795128,14.31461068,0.886650115,1325.582005,47.11803034,9.391666881,0.505006686,569.7388299,142.2963746,144.1482521,535.0947163
BZVAN1_2011,NorthAm,7/29/11,49.253073,-123.245161,78,62.5,95,1237,0,247.4,0,247.4,10.284, , , , ,7.290291825,8.459116166,0.354333618,0.018883538,20.95484435,-3.091296299,24.04614062,1.527412803,14.22795128,14.31461068,0.886650115,1325.582005,47.11803034,9.391666881,0.505006686,569.7388299,142.2963746,144.1482521,535.0947163
CABAL1,NorthAm,4/27/12,38.8098,-95.1875,300,30000,80,0,143,0,28.6,28.6, ,75.02,12.28,28.9,0.086625153,12.76992416,11.96050549,0.305064499,0.032851908,31.89679909,-7.309679985,39.20647812,21.32984924,0.320012301,24.37273026,0.320012301,967.0001221,32.94810104,6.669750214,0.423513174,358.6975098,101.5323334,336.2309875,101.5323334
CBBER1,Europe,7/20/10,52.554405,13.379908,43,180,90,3,76,0.666666667,16.88888889,17.55555556,13.66666667,55.11111111, ,35.51851852, ,9.04024601,8.056269646,0.29841581,0.023907851,23.63549995,-3.361289978,26.99678993,17.1732502,2.552420139,17.46617699,0.278028458,573.0002441,15.7784996,7.829810143,0.206510663,186.0659943,110.1076431,183.770401,124.1099319
CBBER2,Europe,7/20/10,52.571003,13.287402,36,19,70,0,76,0,25.33333333,25.33333333, ,82.68, ,57, ,9.06937027,8.11473465,0.301554352,0.023834998,23.64839935,-3.261290073,26.90969086,17.22320175,2.618732452,17.51302719,0.373733729,576.9997559,15.77939987,8.06058979,0.199444488,185.7337952,112.5882492,183.7279053,126.0352325
CBBER3,Europe,7/27/10,52.464612,13.260325,40,40,10,109,81,21.8,16.2,38,5.905405405,66.22222222, ,19.44444444, ,9.186087608,8.231449127,0.303743392,0.023914255,23.84840012,-3.251610041,27.10000992,17.35655594,2.760050535,17.64638138,0.446422189,572,15.78170013,8.061719894,0.19533585,183.1045074,113.5179367,180.6376038,126.1476974
CBBOU1,NorthAm,7/24/09,40.046969,-105.259879,1641.6,52,98,483,357,96.6,71.4,168,4.887755102,41.014,8.98,11.62,0.549150996,9.181222916,15.7988224,0.409316063,0.02774537,29.55809975,-9.039999962,38.59809875,14.14263439,-0.465254217,19.49938583,-0.465254217,409.0001526,14.92819977,3.037620068,0.428658992,160.1963959,46.80424881,125.6134491,46.80424881
CBBOU2,NorthAm,7/12/11,40.0209167,-105.232467,1603.6,125,60,79,112,15.8,22.4,38.2,9.402040816,121.2512195,30.24390244,52.42682927,0.246138047,9.181222916,15.7988224,0.409316063,0.02774537,29.55809975,-9.039999962,38.59809875,14.14263439,-0.465254217,19.49938583,-0.465254217,409.0001526,14.92819977,3.037620068,0.428658992,160.1963959,46.80424881,125.6134491,46.80424881
CBBOU3,NorthAm,7/15/11,40.0248,-105.30285,1711.5,750,55,1168,949,233.6,189.8,423.4,5.44,51.956,6.4,8.48,0.178171576,9.181222916,15.7988224,0.409316063,0.02774537,29.55809975,-9.039999962,38.59809875,14.14263439,-0.465254217,19.49938583,-0.465254217,409.0001526,14.92819977,3.037620068,0.428658992,160.1963959,46.80424881,125.6134491,46.80424881
