GIFT_ID,PERIOD_START,PERIOD_END,GIFT,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,VALUE,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_LASTNAME,CREATED_DATE
1761,2013-04-01T00:00:00,2013-06-30T00:00:00,NA,NA,NA,NA,0,FINANCE,10494,Thomas,Chapman,2013-07-29T00:00:00
1028,2012-10-01T00:00:00,2012-12-31T00:00:00,lunch,Robert,Fioretti,alderman,25,CITY COUNCIL / ALDERMEN,10101,Stacy,Davis Gates,2013-01-16T00:00:00
2082,2012-10-01T00:00:00,2012-12-31T00:00:00,0,none,none,none,0,PARK DISTRICT,11275,Steven,Ginsberg,2014-01-11T00:00:00
1529,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Harris,Michelle,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1566,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Arena,John,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1565,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Tunney,Tom,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1562,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,O'Connor,Mary,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1551,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Reboyras,Ariel,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1549,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Ervin,Jason,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
2062,2013-10-01T00:00:00,2013-12-31T00:00:00,na,na,na,na,0,CITY COUNCIL / ALDERMEN,11526,James,Gilliam,2014-01-09T00:00:00
1881,2013-07-01T00:00:00,2013-09-30T00:00:00,food,Balcer,James,Alderman,20.28,CITY COUNCIL / ALDERMEN,11525,Amy,Brennan,2013-10-21T00:00:00
1167,2012-10-01T00:00:00,2012-12-31T00:00:00,book,Ed,Burke,Alderman,25,CITY COUNCIL / ALDERMEN,11828,William,Filan,2013-02-13T00:00:00
1165,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Andrew,Mooney,Commissioner,45,HOUSING AND ECONOMIC DEVELOPMENT,11806,Stephen,Friedman,2013-02-11T00:00:00
1162,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Kathleen,Dickhut,Dep. Comm,35,HOUSING AND ECONOMIC DEVELOPMENT,11806,Stephen,Friedman,2013-02-11T00:00:00
1781,2013-04-01T00:00:00,2013-06-30T00:00:00,"Gift Card (gift was from the client, not the lobbyist, and was returned by the Alderman",Ameya,Pawar,Alderman,50,CITY COUNCIL / ALDERMEN,14743,Brian,Bernardoni,2013-08-13T00:00:00
2151,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Basket,Tracy,Sanchez,Ms.,27,HOUSING AND ECONOMIC DEVELOPMENT,15481,Lawrence,Pusateri,2014-01-15T00:00:00
2149,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Basket,Susan,Leske,Ms.,27,CHICAGO HOUSING AUTHORITY,15481,Lawrence,Pusateri,2014-01-15T00:00:00
2147,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Basket,Lawrence,Grisham,Mr.,27,HOUSING AND ECONOMIC DEVELOPMENT,15481,Lawrence,Pusateri,2014-01-15T00:00:00
2146,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Basket,Ed,Ellis,Mr.,27,HOUSING AND ECONOMIC DEVELOPMENT,15481,Lawrence,Pusateri,2014-01-15T00:00:00
2145,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Basket,Jessica,Duarte,Ms.,27,CHICAGO HOUSING AUTHORITY,15481,Lawrence,Pusateri,2014-01-15T00:00:00
3122,2014-10-01T00:00:00,2014-12-31T00:00:00,none,none,none,none,0,AVIATION,16297,Eric,Locke,2015-01-13T00:00:00
2661,2014-04-01T00:00:00,2014-06-30T00:00:00,none,none,none,none,0,AVIATION,16297,Eric,Locke,2014-07-17T00:00:00
3083,2014-10-01T00:00:00,2014-12-31T00:00:00,NONE,N/A,N/A,N/A,0,FINANCE,16553,Morgan,Bassey,2015-01-06T00:00:00
2341,2014-01-01T00:00:00,2014-03-31T00:00:00,0,Jerry,Knapp,Deputy chief,0,FIRE DEPARTMENT,17032,Michele,Nelson,2014-03-26T00:00:00
2981,2014-07-01T00:00:00,2014-09-30T00:00:00,0,Gerald,Hollowell,Director,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,17032,Michele,Nelson,2014-10-20T00:00:00
2266,2013-01-01T00:00:00,2013-03-31T00:00:00,0,Steven,Ginsberg,Attorney,0,CHICAGO PUBLIC SCHOOLS,17328,Steven,Ginsberg,2014-01-22T00:00:00
2923,2014-07-01T00:00:00,2014-09-30T00:00:00,Book & Notebook and Youth Ambassador Luncheon 7/9/14,Toni,Foulkes,Ald,35,CITY COUNCIL / ALDERMEN,16852,Michael,Guerra,2014-10-15T00:00:00
2601,2014-04-01T00:00:00,2014-06-30T00:00:00,None,None,None,None,0,BUILDINGS,17181,John,Suzuki,2014-07-11T00:00:00
2443,2014-01-01T00:00:00,2014-03-31T00:00:00,Luncheon,Margaret,Laurino,Alderman,25,CITY COUNCIL / ALDERMEN,17602,Margaret,Houlihan Smith,2014-04-15T00:00:00
3161,2015-01-01T00:00:00,2015-03-31T00:00:00,NONE,N/A,N/A,N/A,0,FINANCE,22394,Morgan,Bassey,2015-04-02T00:00:00
3118,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Tim,Veenstra,Senior Real Estate Development Manager,19.96,CHICAGO HOUSING AUTHORITY,22509,Lawrence,Pusateri,2015-01-13T00:00:00
3117,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Andy,Mooney,Program Director,19.96,PLANNING AND DEVELOPMENT,22509,Lawrence,Pusateri,2015-01-13T00:00:00
3112,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Jessica,Duarte,PBV,19.96,CHICAGO HOUSING AUTHORITY,22509,Lawrence,Pusateri,2015-01-13T00:00:00
3109,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Ellen,Sahli,Director,19.96,CHICAGO HOUSING AUTHORITY,22509,Lawrence,Pusateri,2015-01-13T00:00:00
3106,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Bill,Povala,Monitoring,19.96,PLANNING AND DEVELOPMENT,22480,Virginia,Pace,2015-01-12T00:00:00
3105,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Tamra,Collins,Analyst,19.96,PLANNING AND DEVELOPMENT,22480,Virginia,Pace,2015-01-12T00:00:00
1103,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Gregory,steadman,legal counsel,15,BUSINESS AFFAIRS AND CONSUMER PROTECTION (BACP),6051,Constance,Zaio,2013-01-29T00:00:00
1168,2012-10-01T00:00:00,2012-12-31T00:00:00,none,N/A,N/A,N/A,0,AVIATION,5739,Steven,Cowell,2013-02-14T00:00:00
41,2012-01-01T00:00:00,2012-06-30T00:00:00,meal,Proco Joe,Moreno,Alderman,18,CITY COUNCIL / ALDERMEN,5757,Richard,Erickson,2012-08-09T00:00:00
1122,2012-10-01T00:00:00,2012-12-31T00:00:00,meal,Tim,Cullerton,alderman,15,CITY COUNCIL / ALDERMEN,5757,Richard,Erickson,2013-01-30T00:00:00
1121,2012-10-01T00:00:00,2012-12-31T00:00:00,meal,Brendan,Reilly,Alderman,50,CITY COUNCIL / ALDERMEN,5757,Richard,Erickson,2013-01-30T00:00:00
385,2012-07-01T00:00:00,2012-09-30T00:00:00,0,Steven,Ginsberg,Member,0,PARK DISTRICT,5761,Steven,Ginsberg,2012-10-10T00:00:00
1095,2012-10-01T00:00:00,2012-12-31T00:00:00,None,Gifts,No,Given,0,BOARD OF EDUCATION,5761,Steven,Ginsberg,2013-01-21T00:00:00
1046,2012-10-01T00:00:00,2012-12-31T00:00:00,Lunch,Regner,Suarez,Alderman,17.79,CITY COUNCIL / ALDERMEN,5778,Margaret,Houlihan,2013-01-17T00:00:00
963,2012-10-01T00:00:00,2012-12-31T00:00:00,Brownies,George,Cronvich,Mr.,30.5,CHICAGO HOUSING AUTHORITY,5872,Lawrence,Pusateri,2013-01-15T00:00:00
943,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Traci,Sanchez,Ms.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,5872,Lawrence,Pusateri,2013-01-14T00:00:00
1050,2012-10-01T00:00:00,2012-12-31T00:00:00,Bank of America Marathon Baseball Cap,Rahm,Emanuel,Mayor,12.95,MAYORS OFFICE,5929,Patricia,Holden,2013-01-17T00:00:00
248,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Willie,Cochran,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
223,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Michael,Chandler,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
218,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Lona,Lane,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
217,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Latasha,Thomas,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
258,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Farzin,Parang,staff,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
205,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Leslie,Hairston,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
202,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Robert,Fioretti,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
239,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Partick,O'Connor,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
238,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Margaret,Laurino,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
362,2012-07-01T00:00:00,2012-09-30T00:00:00,0,Matthew,Stewart,Supervisor,0,FLEET & FACILITY MANAGEMENT,7733,Gary,Engle,2012-10-03T00:00:00
1126,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Tracy,Sanchez,Asst. Treasurer,35,HOUSING AND ECONOMIC DEVELOPMENT,8124,Stephen,Friedman,2013-01-30T00:00:00
981,2012-10-01T00:00:00,2012-12-31T00:00:00,0,Thomas,Coffey,CEO,0,CITY COUNCIL / ALDERMEN,9955,Thomas,Coffey,2013-01-15T00:00:00
338,2012-01-01T00:00:00,2012-06-30T00:00:00,breakfast,Howard,Brookins,Alderman,24,CITY COUNCIL / ALDERMEN,9307,Daniel,Lynch,2012-09-27T00:00:00
361,2012-07-01T00:00:00,2012-09-30T00:00:00,Lunch,Timothy,Cullerton,Alderman,33.78,CITY COUNCIL / ALDERMEN,9307,Daniel,Lynch,2012-10-03T00:00:00
1094,2012-10-01T00:00:00,2012-12-31T00:00:00,0,Sandra,Widerborg,Director Corporate Real Estate,0,HOUSING AND ECONOMIC DEVELOPMENT,9345,Sandra,Widerborg,2013-01-21T00:00:00
861,2012-10-01T00:00:00,2012-12-31T00:00:00,holiday plant,Treasurer,Office,none,116.03,CITY TREASURER,9948,Graham,Grady,2013-01-10T00:00:00
332,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Hugh,Russell,Dr.,12,FIRE DEPARTMENT,9219,Amy,Garman,2012-09-27T00:00:00
327,2012-01-01T00:00:00,2012-06-30T00:00:00,chocolates,Sylvia,Tienda,Commander,12,FIRE DEPARTMENT,9219,Amy,Garman,2012-09-27T00:00:00
904,2012-10-01T00:00:00,2012-12-31T00:00:00,none,Gabrielle,Brussel,none,0,MAYORS OFFICE,9765,Gabrielle,Brussel,2013-01-14T00:00:00
1421,2013-04-01T00:00:00,2013-06-30T00:00:00,None,Matt,Stewart,Supr,0,STREETS & SANITATION,10874,Gary,Engle,2013-06-28T00:00:00
2281,2013-10-01T00:00:00,2013-12-31T00:00:00,None,None,None,None,0,FINANCE,10767,Euriah,Bennett,2014-01-24T00:00:00
1302,2013-01-01T00:00:00,2013-03-31T00:00:00,0,Steven,Ginsberg,Attorney,0,CHICAGO TRANSIT AUTHORITY (CTA),11275,Steven,Ginsberg,2013-04-16T00:00:00
1533,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Cardenas,George,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1527,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Sawyer,Roderick,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1524,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Dowell,Pat,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1573,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Koch,Steve,Deputy Mayor,43,MAYORS OFFICE,11281,Gerald,Roper,2013-07-09T00:00:00
1572,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Emanuel,Rahm,Mayor,43,MAYORS OFFICE,11281,Gerald,Roper,2013-07-09T00:00:00
1569,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Osterman,Harry,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1547,2013-04-01T00:00:00,2013-06-30T00:00:00,Breakfast Annual Meeting,Maldonado,Roberto,Alderman,43,CITY COUNCIL / ALDERMEN,11281,Gerald,Roper,2013-07-09T00:00:00
1262,2013-01-01T00:00:00,2013-03-31T00:00:00,Breakfast,Mary,O'Connor,Alderman,25,CITY COUNCIL / ALDERMEN,11224,Margaret,Houlihan Smith,2013-04-12T00:00:00
1265,2013-01-01T00:00:00,2013-03-31T00:00:00,Breakfast,Joe,Moore,Alderman,25,CITY COUNCIL / ALDERMEN,11227,Daniel,Lynch,2013-04-12T00:00:00
1661,2013-04-01T00:00:00,2013-06-30T00:00:00,meal,Brendan,Reilly,Alderman,35,CITY COUNCIL / ALDERMEN,11567,Richard,Erickson,2013-07-18T00:00:00
1521,2013-04-01T00:00:00,2013-06-30T00:00:00,Business Lunch,Michael,Negron,Policy Staff,31.33,MAYORS OFFICE,11332,Michael,Mini,2013-07-09T00:00:00
1902,2013-07-01T00:00:00,2013-09-30T00:00:00,0.00,Ed,Ebertsch,Fleet,0,FIRE DEPARTMENT,11402,Jody,Joy,2013-10-23T00:00:00
1721,2013-04-01T00:00:00,2013-06-30T00:00:00,N/A,Charlotte,Knight-Marshall,Principal,0,FINANCE,11642,Charlotte,Knight-Marshall,2013-07-23T00:00:00
1581,2013-04-01T00:00:00,2013-06-30T00:00:00,none,none,none,none,0,CITY COUNCIL / ALDERMEN,11372,Bernard,Parisot,2013-07-11T00:00:00
2101,2013-10-01T00:00:00,2013-12-31T00:00:00,0,0,0,0,0,COMMISSION ON HUMAN RELATIONS,11711,Eric,Locke,2014-01-13T00:00:00
1161,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Tracy,Sanchez,Asst. Treasurer,35,HOUSING AND ECONOMIC DEVELOPMENT,11806,Stephen,Friedman,2013-02-11T00:00:00
1662,2013-01-01T00:00:00,2013-03-31T00:00:00,none,Mendoza,Kevin,none,0,MAYORS OFFICE,14304,Kevin,Mendoza,2013-07-18T00:00:00
2301,2013-10-01T00:00:00,2013-12-31T00:00:00,book,Ed,Burke,Ald,20,CITY COUNCIL / ALDERMEN,15407,William,Filan,2014-02-03T00:00:00
1861,2013-07-01T00:00:00,2013-09-30T00:00:00,Lunch,Michael,Zalewski,Alderman,20,CITY COUNCIL / ALDERMEN,14261,Margaret,Houlihan Smith,2013-10-18T00:00:00
2361,2014-01-01T00:00:00,2014-03-31T00:00:00,0,Stephen,Halvorsen,Vice President,0,FINANCE,16606,Stephen,Halvorsen,2014-03-31T00:00:00
2168,2013-10-01T00:00:00,2013-12-31T00:00:00,Food Package,Barbara,Taylor,Ms.,27,HOUSING AND ECONOMIC DEVELOPMENT,15686,Virginia,Pace,2014-01-16T00:00:00
2401,2014-01-01T00:00:00,2014-03-31T00:00:00,n/a,n/a,n/a,n/a,0,PARK DISTRICT,16381,Steven,Ginsberg,2014-04-10T00:00:00
2261,2013-04-01T00:00:00,2013-06-30T00:00:00,0,n/a,n/a,n/a,0,PARK DISTRICT,17328,Steven,Ginsberg,2014-01-22T00:00:00
2941,2014-07-01T00:00:00,2014-09-30T00:00:00,Lunch,Latasha,Thomas,Alderman,14.38,CITY COUNCIL / ALDERMEN,16985,John,Gust,2014-10-16T00:00:00
2924,2014-07-01T00:00:00,2014-09-30T00:00:00,Book & Notebook at Youth Ambassador Luncheon 7/9/14,Joe,Moreno,Ald,35,CITY COUNCIL / ALDERMEN,16852,Michael,Guerra,2014-10-15T00:00:00
2741,2014-04-01T00:00:00,2014-06-30T00:00:00,plant,Rahm,Emanuel,Mayor,35,MAYORS OFFICE,17344,Karen,Kent,2014-07-23T00:00:00
2442,2014-01-01T00:00:00,2014-03-31T00:00:00,Luncheon,Harry,Osterman,Alderman,25,CITY COUNCIL / ALDERMEN,17602,Margaret,Houlihan Smith,2014-04-15T00:00:00
3143,2014-10-01T00:00:00,2014-12-31T00:00:00,lunch,Adam,Gypalo,Chief of Staff,16.5,CITY COUNCIL / ALDERMEN,17548,Richard,Erickson,2015-01-23T00:00:00
2781,2014-04-01T00:00:00,2014-06-30T00:00:00,Meal/Beverage,Will,Burns,Alderman,31.25,CITY COUNCIL / ALDERMEN,20682,COURTNEY,NOTTAGE,2014-09-09T00:00:00
3104,2014-10-01T00:00:00,2014-12-31T00:00:00,Fruit Box,Michelle,Nolan,Project Manager,19.96,PLANNING AND DEVELOPMENT,22480,Virginia,Pace,2015-01-12T00:00:00
3221,2015-01-01T00:00:00,2015-03-31T00:00:00,none,none,none,none,0,AVIATION,23053,Eric,Locke,2015-04-14T00:00:00
3246,2015-01-01T00:00:00,2015-03-31T00:00:00,Lunch,Michael,Zalewski,Alderman,23,CITY COUNCIL / ALDERMEN,23010,Margaret,Houlihan Smith,2015-04-16T00:00:00
3181,2015-01-01T00:00:00,2015-03-31T00:00:00,Food/Beverage,Will,Burns,Alderman,18,CITY COUNCIL / ALDERMEN,23622,COURTNEY,NOTTAGE,2015-04-06T00:00:00
282,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Sheree,Jones,employee,12,POLICE DEPARTMENT,6077,Amy,Garman,2012-09-11T00:00:00
22,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Jacob,Stern,Exec. Asst,10,FINANCE,5599,Thomas,Coverick,2012-08-06T00:00:00
441,2012-07-01T00:00:00,2012-09-30T00:00:00,Attendee at Loop Capital Markets 15th Anniversary Open House,Jason,Ervin,Ald.,40,CITY COUNCIL / ALDERMEN,5613,Albert,Grace,2012-10-12T00:00:00
934,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Ed,Ellis,Mr.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,6982,Virginia,Pace,2013-01-14T00:00:00
932,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Anna,Booth,Ms.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,6982,Virginia,Pace,2013-01-14T00:00:00
961,2012-10-01T00:00:00,2012-12-31T00:00:00,Brownies,John,Gerut,Mr.,30.5,CHICAGO HOUSING AUTHORITY,5872,Lawrence,Pusateri,2013-01-15T00:00:00
940,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Chip,Hastings,Mr,46.45,HOUSING AND ECONOMIC DEVELOPMENT,5872,Lawrence,Pusateri,2013-01-14T00:00:00
1049,2012-10-01T00:00:00,2012-12-31T00:00:00,Bank of America Marathon Baseball Cap,James,Balcer,Alderman,12.95,CITY COUNCIL / ALDERMEN,5929,Patricia,Holden,2013-01-17T00:00:00
243,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Thomas,Tunney,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
221,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Ricardo,Munoz,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
220,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Howard,"Brookins, Jr",alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
266,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,David,Spielfogel,chief of policy and strategic planning,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
263,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Tom,Powers,commissioner,35,WATER MANAGEMENT,5980,Michael,Mini,2012-08-29T00:00:00
262,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Lois,Scott,CFO,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
261,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Robert,Johnson Jr,staff,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
260,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Sean,Rapelya,staff,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
